"id_alert","id_pcap","label","mean_win_fwd","mean_win_bwd","ack_count","syn_count","fwd_pck","bwd_pck","iat_max","iat_min","iat_mean","ports_number","status"
1,1,"BENIGN",64248,65160,0,1,"2.00","1.00","0.00","0.00","0.00",1,"NEW"
2,2,"BENIGN",65160,64248,1,1,"1.00","2.00","0.00","0.00","0.00",1,"NEW"
3,3,"BENIGN",64250,65160,1,0,"3.00","1.00","0.00","0.00","0.00",1,"NEW"
4,4,"BENIGN",64250,65092,1,0,"3.00","2.00","0.00","0.00","0.00",1,"NEW"
5,5,"BENIGN",65069,64252,1,0,"3.00","4.00","1.00","0.00","0.17",1,"NEW"
6,6,"BENIGN",64252,65069,1,0,"4.00","3.00","1.00","0.00","0.17",1,"NEW"
7,7,"BENIGN",65069,64252,1,0,"3.00","4.00","1.00","0.00","0.17",1,"NEW"
8,8,"BENIGN",502,509,1,0,"1.00","1.00","0.00","0.00","0.00",1,"NEW"
9,9,"BENIGN",509,502,1,0,"1.00","2.00","0.00","0.00","0.00",1,"NEW"
10,10,"BENIGN",502,509,1,0,"3.00","2.00","0.00","0.00","0.00",1,"NEW"
11,11,"BENIGN",502,509,1,0,"3.00","2.00","0.00","0.00","0.00",1,"NEW"
12,12,"BENIGN",509,502,1,0,"2.00","3.00","0.00","0.00","0.00",1,"NEW"
13,13,"BENIGN",65051,64227,1,0,"5.00","5.00","1.00","0.00","0.11",1,"NEW"
14,14,"BENIGN",64210,65051,1,0,"6.00","5.00","1.00","0.00","0.10",1,"NEW"
15,15,"BENIGN",65051,64210,1,0,"5.00","6.00","1.00","0.00","0.10",1,"NEW"
16,16,"BENIGN",64198,65046,1,0,"7.00","6.00","1.00","0.00","0.08",1,"NEW"
17,17,"BENIGN",64190,65046,1,0,"8.00","6.00","1.00","0.00","0.08",1,"NEW"
18,18,"BENIGN",65046,64190,1,0,"6.00","8.00","1.00","0.00","0.08",1,"NEW"
19,19,"BENIGN",64190,65046,1,0,"8.00","6.00","1.00","0.00","0.08",1,"NEW"
20,20,"BENIGN",502,509,1,0,"4.00","2.00","1.00","0.00","0.20",1,"NEW"
21,22,"BENIGN",43663,43663,1,0,"3.00","3.00","0.00","0.00","0.00",2,"NEW"
22,21,"BENIGN",43663,43663,0,1,"3.00","3.00","0.00","0.00","0.00",2,"NEW"
23,23,"BENIGN",39297,39297,0,1,"5.00","5.00","0.00","0.00","0.00",3,"NEW"
24,24,"BENIGN",39297,39297,1,0,"5.00","5.00","0.00","0.00","0.00",3,"NEW"
25,25,"BENIGN",32747,32747,0,1,"6.00","6.00","0.00","0.00","0.00",4,"NEW"
26,26,"BENIGN",37425,37425,1,0,"7.00","7.00","0.00","0.00","0.00",4,"NEW"
27,27,"BENIGN",36386,36386,0,1,"9.00","9.00","0.00","0.00","0.00",5,"NEW"
28,29,"BENIGN",32747,32747,0,1,"10.00","10.00","0.00","0.00","0.00",6,"NEW"
29,28,"BENIGN",32747,32747,1,0,"10.00","10.00","0.00","0.00","0.00",6,"NEW"
30,30,"BENIGN",35724,35724,1,0,"11.00","11.00","0.00","0.00","0.00",6,"NEW"
31,31,"BENIGN",35266,35266,0,1,"13.00","13.00","0.00","0.00","0.00",7,"NEW"
32,32,"BENIGN",32747,32747,1,0,"14.00","14.00","0.00","0.00","0.00",8,"NEW"
33,33,"BENIGN",34930,34930,0,1,"15.00","15.00","1.00","0.00","0.07",8,"NEW"
34,34,"BENIGN",34930,34930,1,0,"15.00","15.00","1.00","0.00","0.07",8,"NEW"
35,35,"BENIGN",34673,34673,0,1,"17.00","17.00","1.00","0.00","0.06",9,"NEW"
36,36,"BENIGN",34673,34673,1,0,"17.00","17.00","1.00","0.00","0.06",9,"NEW"
37,37,"BENIGN",34471,34471,0,1,"19.00","19.00","1.00","0.00","0.06",10,"NEW"
38,38,"BENIGN",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
39,39,"BENIGN",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
40,40,"BENIGN",34306,34306,1,0,"21.00","21.00","1.00","0.00","0.05",11,"NEW"
41,41,"BENIGN",32747,32747,0,1,"22.00","22.00","1.00","0.00","0.05",12,"NEW"
42,42,"BENIGN",32747,32747,1,0,"24.00","24.00","1.00","0.00","0.04",13,"NEW"
43,43,"BENIGN",34057,34057,0,1,"25.00","25.00","1.00","0.00","0.04",13,"NEW"
44,44,"BENIGN",34057,34057,1,0,"25.00","25.00","1.00","0.00","0.04",13,"NEW"
45,45,"BENIGN",33960,33960,0,1,"27.00","27.00","1.00","0.00","0.04",14,"NEW"
46,46,"BENIGN",32747,32747,1,0,"28.00","28.00","1.00","0.00","0.04",15,"NEW"
47,47,"BENIGN",33876,33876,0,1,"29.00","29.00","1.00","0.00","0.04",15,"NEW"
48,48,"BENIGN",32747,32747,1,0,"30.00","30.00","1.00","0.00","0.03",16,"NEW"
49,49,"BENIGN",33803,33803,0,1,"15.50","15.50","1.00","0.00","0.07",16,"NEW"
50,50,"BENIGN",32747,32747,1,0,"16.00","16.00","1.00","0.00","0.06",17,"NEW"
51,51,"BENIGN",33739,33739,0,1,"16.50","16.50","1.00","0.00","0.06",17,"NEW"
52,52,"BENIGN",32747,32747,1,0,"17.00","17.00","1.00","0.00","0.06",18,"NEW"
53,53,"BENIGN",32747,32747,0,1,"18.00","18.00","1.00","0.00","0.06",19,"NEW"
54,54,"BENIGN",32747,32747,1,0,"18.00","18.00","1.00","0.00","0.06",19,"NEW"
55,55,"BENIGN",33632,33632,0,1,"18.50","18.50","1.00","0.00","0.06",19,"NEW"
56,56,"BENIGN",32747,32747,1,0,"19.00","19.00","1.00","0.00","0.05",20,"NEW"
57,57,"BENIGN",32747,32747,0,1,"19.00","19.00","1.00","0.00","0.05",20,"NEW"
58,58,"BENIGN",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
59,59,"BENIGN",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
60,60,"BENIGN",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
61,61,"BENIGN",64201,65062,0,1,"1.25","0.88","7.00","0.00","0.50",1,"NEW"
62,62,"BENIGN",65062,64206,1,1,"0.88","1.38","7.00","0.00","0.47",2,"NEW"
63,63,"BENIGN",64206,65058,1,0,"1.38","1.00","7.00","0.00","0.44",1,"NEW"
64,64,"BENIGN",64210,65058,1,0,"1.50","1.00","7.00","0.00","0.42",1,"NEW"
65,65,"BENIGN",65058,64210,1,0,"1.00","1.50","7.00","0.00","0.42",2,"NEW"
66,66,"BENIGN",64210,65054,1,0,"1.50","1.00","7.00","0.00","0.45",1,"NEW"
67,67,"BENIGN",65054,64210,1,0,"1.00","1.50","7.00","0.00","0.45",2,"NEW"
68,68,"BENIGN",502,509,1,0,"0.75","0.38","7.00","0.00","1.00",1,"NEW"
69,69,"BENIGN",509,502,1,0,"0.38","0.88","7.00","0.00","0.89",1,"NEW"
70,70,"BENIGN",502,509,1,0,"0.88","0.38","7.00","0.00","0.89",1,"NEW"
71,71,"BENIGN",502,509,1,0,"0.88","0.50","7.00","0.00","0.80",1,"NEW"
72,72,"BENIGN",509,502,1,0,"0.50","0.88","7.00","0.00","0.80",1,"NEW"
73,73,"BENIGN",65048,64204,1,0,"1.22","1.44","7.00","0.00","0.39",2,"NEW"
74,74,"BENIGN",64198,65048,1,0,"1.56","1.22","7.00","0.00","0.38",1,"NEW"
75,75,"BENIGN",65048,64198,1,0,"1.22","1.56","7.00","0.00","0.38",2,"NEW"
76,76,"BENIGN",64194,65046,1,0,"1.67","1.33","7.00","0.00","0.35",1,"NEW"
77,77,"BENIGN",64190,65046,1,0,"1.78","1.33","7.00","0.00","0.33",1,"NEW"
78,78,"BENIGN",65046,64190,1,0,"1.33","1.78","7.00","0.00","0.33",2,"NEW"
79,79,"BENIGN",64190,65046,1,0,"1.78","1.33","7.00","0.00","0.33",1,"NEW"
80,80,"BENIGN",502,509,1,0,"0.89","0.50","7.00","0.00","0.82",1,"NEW"
81,81,"BENIGN",64192,65055,0,1,"1.31","1.00","7.00","0.00","0.45",1,"NEW"
82,82,"BENIGN",65055,64196,1,1,"1.00","1.38","7.00","0.00","0.43",3,"NEW"
83,83,"BENIGN",64199,65055,1,0,"1.46","1.00","7.00","0.00","0.42",1,"NEW"
84,84,"BENIGN",64199,65053,1,0,"1.46","1.08","7.00","0.00","0.41",1,"NEW"
85,85,"BENIGN",65051,64202,1,0,"1.15","1.54","7.00","0.00","0.38",3,"NEW"
86,86,"BENIGN",64202,65051,1,0,"1.54","1.15","7.00","0.00","0.38",1,"NEW"
87,87,"BENIGN",65051,64202,1,0,"1.15","1.54","7.00","0.00","0.38",3,"NEW"
88,88,"BENIGN",502,509,1,0,"0.83","0.42","7.00","0.00","0.86",1,"NEW"
