"id_alert","id_pcap","label","mean_win_fwd","mean_win_bwd","ack_count","syn_count","fwd_pck","bwd_pck","iat_max","iat_min","iat_mean","ports_number","status"
1,1,"BENNING",43663,43663,0,1,"3.00","3.00","0.00","0.00","0.00",2,"NEW"
2,2,"BENNING",32747,32747,1,0,"4.00","4.00","0.00","0.00","0.00",3,"NEW"
3,3,"BENNING",39297,39297,0,1,"5.00","5.00","0.00","0.00","0.00",3,"NEW"
4,4,"BENNING",32747,32747,1,0,"6.00","6.00","0.00","0.00","0.00",4,"NEW"
5,5,"BENNING",37425,37425,0,1,"7.00","7.00","0.00","0.00","0.00",4,"NEW"
6,6,"BENNING",36386,36386,1,0,"9.00","9.00","1.00","0.00","0.12",5,"NEW"
7,7,"BENNING",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.11",6,"NEW"
8,8,"BENNING",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.11",6,"NEW"
9,9,"BENNING",35724,35724,0,1,"11.00","11.00","1.00","0.00","0.10",6,"NEW"
10,10,"BENNING",32747,32747,1,0,"12.00","12.00","1.00","0.00","0.09",7,"NEW"
11,11,"BENNING",35266,35266,0,1,"13.00","13.00","1.00","0.00","0.08",7,"NEW"
12,12,"BENNING",34930,34930,1,0,"15.00","15.00","1.00","0.00","0.07",8,"NEW"
13,13,"BENNING",34930,34930,0,1,"15.00","15.00","1.00","0.00","0.07",8,"NEW"
14,14,"BENNING",34930,34930,1,0,"15.00","15.00","1.00","0.00","0.07",8,"NEW"
15,15,"BENNING",34930,34930,0,1,"15.00","15.00","1.00","0.00","0.07",8,"NEW"
16,16,"BENNING",32747,32747,1,0,"18.00","18.00","1.00","0.00","0.06",10,"NEW"
17,17,"BENNING",34471,34471,0,1,"19.00","19.00","1.00","0.00","0.06",10,"NEW"
18,18,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
19,20,"BENNING",32747,32747,1,0,"22.00","22.00","1.00","0.00","0.05",12,"NEW"
20,19,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",11,"NEW"
21,21,"BENNING",34171,34171,0,1,"23.00","23.00","1.00","0.00","0.05",12,"NEW"
22,22,"BENNING",32747,32747,1,0,"24.00","24.00","1.00","0.00","0.04",13,"NEW"
23,23,"BENNING",34057,34057,0,1,"25.00","25.00","1.00","0.00","0.04",13,"NEW"
24,24,"BENNING",32747,32747,1,0,"26.00","26.00","1.00","0.00","0.04",14,"NEW"
25,25,"BENNING",33960,33960,0,1,"27.00","27.00","1.00","0.00","0.04",14,"NEW"
26,26,"BENNING",32747,32747,1,0,"28.00","28.00","1.00","0.00","0.04",15,"NEW"
27,27,"BENNING",33876,33876,0,1,"29.00","29.00","1.00","0.00","0.04",15,"NEW"
28,28,"BENNING",32747,32747,1,0,"30.00","30.00","1.00","0.00","0.03",16,"NEW"
29,29,"BENNING",33803,33803,0,1,"31.00","31.00","1.00","0.00","0.03",16,"NEW"
30,30,"BENNING",33803,33803,1,0,"31.00","31.00","1.00","0.00","0.03",16,"NEW"
31,31,"BENNING",32747,32747,0,1,"16.00","16.00","1.00","0.00","0.06",17,"NEW"
32,32,"BENNING",32747,32747,1,0,"17.00","17.00","1.00","0.00","0.06",18,"NEW"
33,33,"BENNING",33683,33683,0,1,"17.50","17.50","1.00","0.00","0.06",18,"NEW"
34,34,"BENNING",32747,32747,1,0,"18.00","18.00","1.00","0.00","0.06",19,"NEW"
35,35,"BENNING",32747,32747,0,1,"18.00","18.00","1.00","0.00","0.06",19,"NEW"
36,36,"BENNING",32747,32747,1,0,"19.00","19.00","1.00","0.00","0.05",20,"NEW"
37,37,"BENNING",32747,32747,0,1,"19.00","19.00","1.00","0.00","0.05",20,"NEW"
38,38,"BENNING",33587,33587,1,0,"19.50","19.50","1.00","0.00","0.05",20,"NEW"
39,39,"BENNING",32747,32747,0,1,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
40,40,"BENNING",32747,32747,1,0,"20.00","20.00","1.00","0.00","0.05",21,"NEW"
41,41,"BENNING",64248,64248,0,1,"2.00","2.00","0.00","0.00","0.00",1,"NEW"
42,42,"BENNING",65160,65160,1,1,"1.00","1.00","0.00","0.00","0.00",1,"NEW"
43,43,"BENNING",64250,64250,1,0,"3.00","3.00","0.00","0.00","0.00",1,"NEW"
44,44,"BENNING",64252,64252,1,0,"4.00","4.00","0.00","0.00","0.00",1,"NEW"
45,45,"BENNING",65092,65092,1,0,"2.00","2.00","0.00","0.00","0.00",1,"NEW"
46,46,"BENNING",64252,64252,1,0,"4.00","4.00","0.00","0.00","0.00",1,"NEW"
47,47,"BENNING",65069,65069,1,0,"3.00","3.00","0.00","0.00","0.00",1,"NEW"
48,48,"BENNING",502,502,1,0,"2.00","2.00","0.00","0.00","0.00",1,"NEW"
49,49,"BENNING",509,509,1,0,"1.00","1.00","0.00","0.00","0.00",1,"NEW"
50,50,"BENNING",502,502,1,0,"3.00","3.00","0.00","0.00","0.00",1,"NEW"
51,51,"BENNING",502,502,1,0,"3.00","3.00","0.00","0.00","0.00",1,"NEW"
52,52,"BENNING",509,509,1,0,"2.00","2.00","0.00","0.00","0.00",1,"NEW"
53,53,"BENNING",65051,65051,1,0,"5.00","5.00","1.00","0.00","0.11",1,"NEW"
54,54,"BENNING",64227,64227,1,0,"5.00","5.00","1.00","0.00","0.11",1,"NEW"
55,55,"BENNING",65051,65051,1,0,"5.00","5.00","1.00","0.00","0.09",1,"NEW"
56,56,"BENNING",64198,64198,1,0,"7.00","7.00","1.00","0.00","0.08",1,"NEW"
57,57,"BENNING",64198,64198,1,0,"7.00","7.00","1.00","0.00","0.08",1,"NEW"
58,58,"BENNING",65046,65046,1,0,"6.00","6.00","1.00","0.00","0.08",1,"NEW"
59,59,"BENNING",64190,64190,1,0,"8.00","8.00","1.00","0.00","0.08",1,"NEW"
60,60,"BENNING",502,502,1,0,"4.00","4.00","1.00","0.00","0.20",1,"NEW"
61,61,"BENNING",64195,64195,0,1,"1.50","1.50","5.00","0.00","0.40",1,"NEW"
62,62,"BENNING",65062,65062,1,1,"1.17","1.17","5.00","0.00","0.38",2,"NEW"
63,63,"BENNING",64206,64206,1,0,"1.83","1.83","5.00","0.00","0.35",1,"NEW"
64,64,"BENNING",64206,64206,1,0,"1.83","1.83","5.00","0.00","0.33",1,"NEW"
65,65,"BENNING",65054,65054,1,0,"1.50","1.50","5.00","0.00","0.30",2,"NEW"
66,66,"BENNING",64210,64210,1,0,"2.00","2.00","5.00","0.00","0.30",1,"NEW"
67,67,"BENNING",65054,65054,1,0,"1.50","1.50","5.00","0.00","0.30",2,"NEW"
68,68,"BENNING",502,502,1,0,"0.83","0.83","5.00","0.00","0.86",1,"NEW"
69,69,"BENNING",509,509,1,0,"0.50","0.50","5.00","0.00","0.75",1,"NEW"
70,70,"BENNING",502,502,1,0,"1.17","1.17","5.00","0.00","0.67",1,"NEW"
71,71,"BENNING",502,502,1,0,"1.17","1.17","5.00","0.00","0.60",1,"NEW"
72,72,"BENNING",509,509,1,0,"0.67","0.67","5.00","0.00","0.60",1,"NEW"
73,73,"BENNING",65048,65048,1,0,"1.83","1.83","5.00","0.00","0.26",2,"NEW"
74,74,"BENNING",64198,64198,1,0,"2.33","2.33","5.00","0.00","0.25",1,"NEW"
75,75,"BENNING",65048,65048,1,0,"1.83","1.83","5.00","0.00","0.24",2,"NEW"
76,76,"BENNING",64194,64194,1,0,"2.50","2.50","5.00","0.00","0.23",1,"NEW"
77,77,"BENNING",64190,64190,1,0,"2.67","2.67","5.00","0.00","0.22",1,"NEW"
78,78,"BENNING",65046,65046,1,0,"2.00","2.00","5.00","0.00","0.22",2,"NEW"
79,79,"BENNING",64190,64190,1,0,"2.67","2.67","5.00","0.00","0.22",1,"NEW"
80,80,"BENNING",502,502,1,0,"1.14","1.14","5.00","0.00","0.64",1,"NEW"
81,81,"BENNING",64192,64192,0,1,"1.89","1.89","5.00","0.00","0.31",1,"NEW"
82,82,"BENNING",65055,65055,1,1,"1.44","1.44","5.00","0.00","0.29",3,"NEW"
83,83,"BENNING",64199,64199,1,0,"2.11","2.11","5.00","0.00","0.28",1,"NEW"
84,84,"BENNING",64199,64199,1,0,"2.11","2.11","5.00","0.00","0.28",1,"NEW"
85,85,"BENNING",65053,65053,1,0,"1.56","1.56","5.00","0.00","0.27",3,"NEW"
86,86,"BENNING",64202,64202,1,0,"2.22","2.22","5.00","0.00","0.26",1,"NEW"
87,87,"BENNING",65051,65051,1,0,"1.67","1.67","5.00","0.00","0.26",3,"NEW"
88,88,"BENNING",502,502,1,0,"1.11","1.11","5.00","0.00","0.64",1,"NEW"
89,89,"BENNING",509,509,1,0,"0.56","0.56","5.00","0.00","0.60",1,"NEW"
90,90,"BENNING",502,502,1,0,"1.22","1.22","5.00","0.00","0.56",1,"NEW"
91,91,"BENNING",502,502,1,0,"1.22","1.22","5.00","0.00","0.56",1,"NEW"
92,92,"BENNING",509,509,1,0,"0.67","0.67","5.00","0.00","0.56",1,"NEW"
93,93,"BENNING",65049,65049,1,0,"1.78","1.78","5.00","0.00","0.25",3,"NEW"
94,94,"BENNING",64195,64195,1,0,"2.44","2.44","5.00","0.00","0.24",1,"NEW"
95,95,"BENNING",65048,65048,1,0,"1.89","1.89","5.00","0.00","0.24",3,"NEW"
96,96,"BENNING",64192,64192,1,0,"2.56","2.56","5.00","0.00","0.23",1,"NEW"
97,97,"BENNING",64190,64190,1,0,"2.40","2.40","5.00","0.00","0.24",1,"NEW"
98,98,"BENNING",65046,65046,1,0,"1.80","1.80","5.00","0.00","0.24",3,"NEW"
99,99,"BENNING",64190,64190,1,0,"2.40","2.40","5.00","0.00","0.24",1,"NEW"
100,100,"BENNING",502,502,1,0,"1.20","1.20","5.00","0.00","0.59",1,"NEW"
101,101,"BENNING",64194,64194,0,1,"1.73","1.73","5.00","0.00","0.34",1,"NEW"
102,102,"BENNING",65052,65052,1,1,"1.27","1.27","5.00","0.00","0.33",4,"NEW"
103,103,"BENNING",64196,64196,1,0,"1.80","1.80","5.00","0.00","0.33",1,"NEW"
104,104,"BENNING",64198,64198,1,0,"1.87","1.87","5.00","0.00","0.32",1,"NEW"
105,105,"BENNING",65049,65049,1,0,"1.40","1.40","5.00","0.00","0.31",4,"NEW"
106,106,"BENNING",64198,64198,1,0,"1.87","1.87","5.00","0.00","0.31",1,"NEW"
107,107,"BENNING",65049,65049,1,0,"1.40","1.40","5.00","0.00","0.31",4,"NEW"
108,108,"BENNING",502,502,1,0,"0.93","0.93","5.00","0.00","0.75",1,"NEW"
109,109,"BENNING",509,509,1,0,"0.47","0.47","5.00","0.00","0.75",1,"NEW"
110,110,"BENNING",502,502,1,0,"1.00","1.00","5.00","0.00","0.71",1,"NEW"
111,111,"BENNING",502,502,1,0,"1.00","1.00","5.00","0.00","0.73",1,"NEW"
112,112,"BENNING",509,509,1,0,"0.50","0.50","5.00","0.00","0.73",1,"NEW"
113,113,"BENNING",65047,65047,1,0,"1.44","1.44","5.00","0.00","0.31",4,"NEW"
114,114,"BENNING",64194,64194,1,0,"1.88","1.88","5.00","0.00","0.31",1,"NEW"
115,115,"BENNING",65047,65047,1,0,"1.44","1.44","5.00","0.00","0.30",4,"NEW"
116,116,"BENNING",64192,64192,1,0,"1.94","1.94","5.00","0.00","0.30",1,"NEW"
117,117,"BENNING",64190,64190,1,0,"2.00","2.00","5.00","0.00","0.29",1,"NEW"
118,118,"BENNING",65046,65046,1,0,"1.50","1.50","5.00","0.00","0.29",4,"NEW"
119,119,"BENNING",64190,64190,1,0,"2.00","2.00","5.00","0.00","0.29",1,"NEW"
120,120,"BENNING",502,502,1,0,"1.00","1.00","5.00","0.00","0.70",1,"NEW"
121,121,"BENNING",64191,64191,0,1,"1.50","1.50","6.00","0.00","0.39",1,"NEW"
122,122,"BENNING",65051,65051,1,1,"1.14","1.14","6.00","0.00","0.37",5,"NEW"
123,123,"BENNING",64195,64195,1,0,"1.59","1.59","6.00","0.00","0.37",1,"NEW"
124,124,"BENNING",64195,64195,1,0,"1.59","1.59","6.00","0.00","0.37",1,"NEW"
125,125,"BENNING",65050,65050,1,0,"1.18","1.18","6.00","0.00","0.36",5,"NEW"
126,126,"BENNING",64196,64196,1,0,"1.64","1.64","6.00","0.00","0.35",1,"NEW"
127,127,"BENNING",65049,65049,1,0,"1.23","1.23","6.00","0.00","0.35",5,"NEW"
128,128,"BENNING",502,502,1,0,"0.77","0.77","6.00","0.00","0.88",1,"NEW"
129,129,"BENNING",509,509,1,0,"0.41","0.41","6.00","0.00","0.81",1,"NEW"
130,130,"BENNING",502,502,1,0,"0.86","0.86","6.00","0.00","0.81",1,"NEW"
131,131,"BENNING",502,502,1,0,"0.86","0.86","6.00","0.00","0.79",1,"NEW"
132,132,"BENNING",509,509,1,0,"0.45","0.45","6.00","0.00","0.79",1,"NEW"
133,133,"BENNING",65047,65047,1,0,"1.32","1.32","6.00","0.00","0.34",5,"NEW"
134,134,"BENNING",64193,64193,1,0,"1.73","1.73","6.00","0.00","0.33",1,"NEW"
135,135,"BENNING",65047,65047,1,0,"1.32","1.32","6.00","0.00","0.33",5,"NEW"
136,136,"BENNING",64191,64191,1,0,"1.77","1.77","6.00","0.00","0.32",1,"NEW"
137,137,"BENNING",64190,64190,1,0,"1.82","1.82","6.00","0.00","0.32",1,"NEW"
138,138,"BENNING",65046,65046,1,0,"1.36","1.36","6.00","0.00","0.32",5,"NEW"
139,139,"BENNING",64190,64190,1,0,"1.82","1.82","6.00","0.00","0.32",1,"NEW"
140,140,"BENNING",502,502,1,0,"0.91","0.91","6.00","0.00","0.76",1,"NEW"
141,141,"BENNING",64192,64192,0,1,"1.50","1.50","6.00","0.00","0.39",1,"NEW"
142,142,"BENNING",65050,65050,1,1,"1.11","1.11","6.00","0.00","0.38",6,"NEW"
143,143,"BENNING",64194,64194,1,0,"1.54","1.54","6.00","0.00","0.38",1,"NEW"
144,144,"BENNING",64194,64194,1,0,"1.54","1.54","6.00","0.00","0.38",1,"NEW"
145,145,"BENNING",65049,65049,1,0,"1.14","1.14","6.00","0.00","0.37",6,"NEW"
146,146,"BENNING",64195,64195,1,0,"1.57","1.57","6.00","0.00","0.37",1,"NEW"
147,147,"BENNING",65048,65048,1,0,"1.18","1.18","6.00","0.00","0.37",6,"NEW"
148,148,"BENNING",502,502,1,0,"0.79","0.79","6.00","0.00","0.88",1,"NEW"
149,149,"BENNING",509,509,1,0,"0.39","0.39","6.00","0.00","0.85",1,"NEW"
150,150,"BENNING",502,502,1,0,"0.82","0.82","6.00","0.00","0.82",1,"NEW"
151,151,"BENNING",502,502,1,0,"0.82","0.82","6.00","0.00","0.82",1,"NEW"
152,152,"BENNING",509,509,1,0,"0.43","0.43","6.00","0.00","0.82",1,"NEW"
153,153,"BENNING",65048,65048,1,0,"1.21","1.21","6.00","0.00","0.37",6,"NEW"
154,154,"BENNING",64194,64194,1,0,"1.55","1.55","6.00","0.00","0.37",1,"NEW"
155,155,"BENNING",65047,65047,1,0,"1.21","1.21","6.00","0.00","0.36",6,"NEW"
156,157,"BENNING",64190,64190,1,0,"1.66","1.66","6.00","0.00","0.35",1,"NEW"
157,156,"BENNING",64191,64191,1,0,"1.62","1.62","6.00","0.00","0.35",1,"NEW"
158,158,"BENNING",65046,65046,1,0,"1.24","1.24","6.00","0.00","0.35",6,"NEW"
159,159,"BENNING",64190,64190,1,0,"1.66","1.66","6.00","0.00","0.35",1,"NEW"
160,160,"BENNING",502,502,1,0,"0.83","0.83","6.00","0.00","0.83",1,"NEW"
161,161,"BENNING",64191,64191,0,1,"1.32","1.32","8.00","0.00","0.44",1,"NEW"
162,162,"BENNING",65049,65049,1,1,"1.00","1.00","8.00","0.00","0.43",7,"NEW"
163,164,"BENNING",64193,64193,1,0,"1.38","1.38","8.00","0.00","0.42",1,"NEW"
164,163,"BENNING",64193,64193,1,0,"1.38","1.38","8.00","0.00","0.42",1,"NEW"
165,165,"BENNING",65049,65049,1,0,"1.03","1.03","8.00","0.00","0.42",7,"NEW"
166,166,"BENNING",64194,64194,1,0,"1.41","1.41","8.00","0.00","0.41",1,"NEW"
167,167,"BENNING",65048,65048,1,0,"1.05","1.05","8.00","0.00","0.41",7,"NEW"
168,168,"BENNING",502,502,1,0,"0.70","0.70","8.00","0.00","0.97",1,"NEW"
169,169,"BENNING",509,509,1,0,"0.35","0.35","8.00","0.00","0.95",1,"NEW"
170,170,"BENNING",502,502,1,0,"0.73","0.73","8.00","0.00","0.92",1,"NEW"
171,171,"BENNING",502,502,1,0,"0.73","0.73","8.00","0.00","0.92",1,"NEW"
172,172,"BENNING",509,509,1,0,"0.38","0.38","8.00","0.00","0.92",1,"NEW"
173,173,"BENNING",65047,65047,1,0,"1.11","1.11","8.00","0.00","0.40",7,"NEW"
174,174,"BENNING",64192,64192,1,0,"1.46","1.46","8.00","0.00","0.39",1,"NEW"
