"id_alert","id_pcap","label","mean_win_fwd","mean_win_bwd","ack_count","syn_count","fwd_pck","bwd_pck","iat_max","iat_min","iat_mean","ports_number","status"
1,1,"BENIGN",32747,32747,0,1,"2.00","2.00","0.00","0.00","0.00",2,"NEW"
2,2,"BENIGN",32747,32747,1,0,"4.00","4.00","0.00","0.00","0.00",3,"NEW"
3,4,"BENIGN",39297,39297,1,0,"5.00","5.00","0.00","0.00","0.00",3,"NEW"
4,5,"BENIGN",32747,32747,0,1,"6.00","6.00","0.00","0.00","0.00",4,"NEW"
5,3,"BENIGN",39297,39297,0,1,"5.00","5.00","0.00","0.00","0.00",3,"NEW"
6,6,"BENIGN",37425,37425,1,0,"7.00","7.00","0.00","0.00","0.00",4,"NEW"
7,7,"BENIGN",36386,36386,0,1,"9.00","9.00","1.00","0.00","0.12",5,"NEW"
8,8,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.11",6,"NEW"
9,9,"BENIGN",35724,35724,0,1,"11.00","11.00","1.00","0.00","0.10",6,"NEW"
10,10,"BENIGN",35724,35724,1,0,"11.00","11.00","1.00","0.00","0.10",6,"NEW"
11,11,"BENIGN",35266,35266,0,1,"13.00","13.00","1.00","0.00","0.08",7,"NEW"
12,12,"BENIGN",35266,35266,1,0,"13.00","13.00","1.00","0.00","0.08",7,"NEW"
13,13,"BENIGN",34930,34930,0,1,"15.00","15.00","1.00","0.00","0.07",8,"NEW"
14,14,"BENIGN",32747,32747,1,0,"16.00","16.00","1.00","0.00","0.07",9,"NEW"
15,15,"BENIGN",34673,34673,0,1,"17.00","17.00","1.00","0.00","0.06",9,"NEW"
16,16,"BENIGN",34673,34673,1,0,"17.00","17.00","1.00","0.00","0.06",9,"NEW"
17,17,"BENIGN",32747,32747,0,1,"18.00","18.00","1.00","0.00","0.06",10,"NEW"
18,18,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.11",11,"NEW"
19,19,"BENIGN",32747,32747,0,1,"10.00","10.00","1.00","0.00","0.11",11,"NEW"
20,20,"BENIGN",32747,32747,1,0,"10.00","10.00","1.00","0.00","0.11",11,"NEW"
21,21,"BENIGN",64248,65160,0,1,"2.00","1.00","0.00","0.00","0.00",1,"NEW"
22,22,"BENIGN",65160,64248,1,1,"1.00","2.00","0.00","0.00","0.00",1,"NEW"
23,23,"BENIGN",64250,65160,1,0,"3.00","1.00","0.00","0.00","0.00",1,"NEW"
24,24,"BENIGN",64252,65092,1,0,"4.00","2.00","0.00","0.00","0.00",1,"NEW"
25,25,"BENIGN",65069,64252,1,0,"3.00","4.00","0.00","0.00","0.00",1,"NEW"
26,26,"BENIGN",64252,65069,1,0,"4.00","3.00","0.00","0.00","0.00",1,"NEW"
27,27,"BENIGN",65069,64252,1,0,"3.00","4.00","0.00","0.00","0.00",1,"NEW"
28,28,"BENIGN",502,509,1,0,"2.00","1.00","0.00","0.00","0.00",1,"NEW"
29,29,"BENIGN",509,502,1,0,"1.00","3.00","0.00","0.00","0.00",1,"NEW"
30,30,"BENIGN",502,509,1,0,"3.00","2.00","0.00","0.00","0.00",1,"NEW"
31,31,"BENIGN",502,509,1,0,"3.00","2.00","0.00","0.00","0.00",1,"NEW"
32,32,"BENIGN",509,502,1,0,"2.00","3.00","0.00","0.00","0.00",1,"NEW"
33,33,"BENIGN",65058,64227,1,0,"4.00","5.00","1.00","0.00","0.12",1,"NEW"
34,34,"BENIGN",64210,65051,1,0,"6.00","5.00","1.00","0.00","0.10",1,"NEW"
35,35,"BENIGN",65051,64198,1,0,"5.00","7.00","1.00","0.00","0.09",1,"NEW"
36,36,"BENIGN",64198,65046,1,0,"7.00","6.00","1.00","0.00","0.08",1,"NEW"
37,37,"BENIGN",64190,65046,1,0,"8.00","6.00","1.00","0.00","0.08",1,"NEW"
38,38,"BENIGN",65046,64190,1,0,"6.00","8.00","1.00","0.00","0.08",1,"NEW"
39,39,"BENIGN",64190,65046,1,0,"8.00","6.00","1.00","0.00","0.08",1,"NEW"
40,40,"BENIGN",502,509,1,0,"4.00","2.00","1.00","0.00","0.20",1,"NEW"
41,41,"BENIGN",32747,32747,0,1,"7.33","7.33","1.00","0.00","0.14",12,"NEW"
42,42,"BENIGN",34171,34171,1,0,"7.67","7.67","1.00","0.00","0.14",12,"NEW"
43,43,"BENIGN",32747,32747,0,1,"6.00","6.00","1.00","0.00","0.17",13,"NEW"
44,44,"BENIGN",34057,34057,1,0,"6.25","6.25","1.00","0.00","0.17",13,"NEW"
45,45,"BENIGN",32747,32747,0,1,"6.50","6.50","1.00","0.00","0.16",14,"NEW"
46,46,"BENIGN",33960,33960,1,0,"6.75","6.75","1.00","0.00","0.15",14,"NEW"
47,47,"BENIGN",32747,32747,0,1,"7.00","7.00","1.00","0.00","0.15",15,"NEW"
48,48,"BENIGN",33876,33876,1,0,"7.25","7.25","1.00","0.00","0.14",15,"NEW"
49,49,"BENIGN",33803,33803,0,1,"7.75","7.75","1.00","0.00","0.13",16,"NEW"
